status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0070.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_16.jpg,emerg_298,1,1280,1707,1280,2184960,799.84,0.0289,0.0100
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0072.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0074.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0075.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0101.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0102.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0105.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0111.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0113.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0137.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0140.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0141.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0142.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0297.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0300.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0304.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0311.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0312.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0313.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0316.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0317.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/emerg_smoke_evacuation_route_visibility__commons_category__0322.jpg,emerg_smoke_evacuation_route_visibility,extreme_emergency,,,1,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0035.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,0,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0036.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,0,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/erob_amr_charger_smoke_abort__commons_category__0037.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,0,,,,,,,
rejected,scene_deficit_filled,C:/Users/assd/FORGE/dataset/images_candidates/erob_cobot_safety_scanner_slowdown__commons_category__0076.jpg,erob_cobot_safety_scanner_slowdown,embodied_robotics,,,0,,,,,,,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0015.jpg,erob_multi_robot_coordination,embodied_robotics,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_15.jpg,erob_177,2,1280,916,916,1172480,1616.07,0.0663,0.0303
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0016.jpg,erob_multi_robot_coordination,embodied_robotics,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_16.jpg,erob_178,2,1280,851,851,1089280,221.64,0.0483,0.0307
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0034.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0035.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0041.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0181.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0183.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0184.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0185.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0186.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0187.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0188.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0190.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0195.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0196.png,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0202.png,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0204.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/erob_multi_robot_coordination__commons_category__0206.jpg,erob_multi_robot_coordination,embodied_robotics,,,2,,,,,,,
