hash,path,referenced_count,action,kept_path
094c66bb7298dd27c9e489c5e9285a4c5fdc8469c6eaf673c2d7fb43fea6cb75,dataset/images/maritime/ship_engine_room.jpg,0,delete,dataset/images/maritime/ship_engine_room_crankshaft.jpg
094c66bb7298dd27c9e489c5e9285a4c5fdc8469c6eaf673c2d7fb43fea6cb75,dataset/images/maritime/ship_engine_room_crankshaft.jpg,0,keep,dataset/images/maritime/ship_engine_room_crankshaft.jpg
166806d8410db70763a6c86a3a1d03e020e850c124699dbb8b747d33deb30b30,dataset/images/manufacturing/swarm_robotics_coordination_platform.jpg,0,delete,dataset/images/robotics/swarm_robotics_coordination_platform.jpg
166806d8410db70763a6c86a3a1d03e020e850c124699dbb8b747d33deb30b30,dataset/images/robotics/swarm_robotics_coordination_platform.jpg,0,keep,dataset/images/robotics/swarm_robotics_coordination_platform.jpg
1d32a1009f2a818a28fdc22cc3adbc9280ff8b84961d483a172f060f10bf0243,dataset/images/manufacturing/autonomous_mobile_robot.jpg,0,delete,dataset/images/robotics/autonomous_mobile_robot.jpg
1d32a1009f2a818a28fdc22cc3adbc9280ff8b84961d483a172f060f10bf0243,dataset/images/robotics/autonomous_mobile_robot.jpg,9,keep,dataset/images/robotics/autonomous_mobile_robot.jpg
2a0558503a86e598b1f3a8258ab6bdbf857739ed42f0993a863a09ddf0ca3b6b,dataset/images/manufacturing/rob_005.jpg,0,delete,dataset/images/robotics/rob_005.jpg
2a0558503a86e598b1f3a8258ab6bdbf857739ed42f0993a863a09ddf0ca3b6b,dataset/images/robotics/rob_005.jpg,0,keep,dataset/images/robotics/rob_005.jpg
350e2b4bab1e80eca9078863e875be46daea006e190980cefc002736b0b3d326,dataset/images/manufacturing/rob_009.jpg,0,delete,dataset/images/robotics/rob_009.jpg
350e2b4bab1e80eca9078863e875be46daea006e190980cefc002736b0b3d326,dataset/images/robotics/rob_009.jpg,0,keep,dataset/images/robotics/rob_009.jpg
36aea6255db36e75de63025f14b50316bdaf552d954b9bf85435c244be4ea9af,dataset/images/manufacturing/parallel_kinematic_hexapod.jpg,0,delete,dataset/images/robotics/parallel_kinematic_hexapod.jpg
36aea6255db36e75de63025f14b50316bdaf552d954b9bf85435c244be4ea9af,dataset/images/robotics/parallel_kinematic_hexapod.jpg,8,keep,dataset/images/robotics/parallel_kinematic_hexapod.jpg
51685245aca742e6c84aa6a4de2181f747a918b00ff54272803d36204d735a51,dataset/images/manufacturing/underwater_rov_manipulator_arm.jpg,0,keep,dataset/images/manufacturing/underwater_rov_manipulator_arm.jpg
51685245aca742e6c84aa6a4de2181f747a918b00ff54272803d36204d735a51,dataset/images/robotics/underwater_rov_manipulator_arm.jpg,0,delete,dataset/images/manufacturing/underwater_rov_manipulator_arm.jpg
66e14945d82dd2b0541f79e8cc9d660de635340e1a1c8cfd60862b0728a91365,dataset/images/manufacturing/surgical_robot_instrument_arm.jpg,0,delete,dataset/images/robotics/surgical_robot_instrument_arm.jpg
66e14945d82dd2b0541f79e8cc9d660de635340e1a1c8cfd60862b0728a91365,dataset/images/robotics/surgical_robot_instrument_arm.jpg,8,keep,dataset/images/robotics/surgical_robot_instrument_arm.jpg
6aad3c979c3bf8e858d4159415aac1b9e20ff4e6914f72fad118b50a1b7e30a3,dataset/images/manufacturing/rob_008.jpg,0,delete,dataset/images/robotics/rob_008.jpg
6aad3c979c3bf8e858d4159415aac1b9e20ff4e6914f72fad118b50a1b7e30a3,dataset/images/robotics/rob_008.jpg,0,keep,dataset/images/robotics/rob_008.jpg
6dbd4881a2db03fe9f49404ae7063b243f4457c6ab2094e5a720c111cb255cbb,dataset/images/manufacturing/agricultural_harvesting_robot.jpg,0,delete,dataset/images/robotics/agricultural_harvesting_robot.jpg
6dbd4881a2db03fe9f49404ae7063b243f4457c6ab2094e5a720c111cb255cbb,dataset/images/robotics/agricultural_harvesting_robot.jpg,0,keep,dataset/images/robotics/agricultural_harvesting_robot.jpg
8beb4fa9ff4145e9b113eb2379ec585f4da455b9454e180ce72431ffb8575c8e,dataset/images/manufacturing/autonomous_mobile_robot_chassis.jpg,0,delete,dataset/images/robotics/autonomous_mobile_robot_chassis.jpg
8beb4fa9ff4145e9b113eb2379ec585f4da455b9454e180ce72431ffb8575c8e,dataset/images/robotics/autonomous_mobile_robot_chassis.jpg,0,keep,dataset/images/robotics/autonomous_mobile_robot_chassis.jpg
9f83574e29c035215ba4cc4608bc6052dccda13e42f61098d895caa9770dd0c7,dataset/images/manufacturing/exoskeleton_joint_assembly.jpg,0,delete,dataset/images/robotics/exoskeleton_joint_assembly.jpg
9f83574e29c035215ba4cc4608bc6052dccda13e42f61098d895caa9770dd0c7,dataset/images/robotics/exoskeleton_joint_assembly.jpg,0,keep,dataset/images/robotics/exoskeleton_joint_assembly.jpg
9fe659bf7bc1d057aec8725b1b64d1b9032e0c179db2f6b12e88e4b64bebcd53,dataset/images/manufacturing/collaborative_robot.jpg,0,delete,dataset/images/robotics/collaborative_robot.jpg
9fe659bf7bc1d057aec8725b1b64d1b9032e0c179db2f6b12e88e4b64bebcd53,dataset/images/robotics/collaborative_robot.jpg,17,keep,dataset/images/robotics/collaborative_robot.jpg
c06f093707786e45d91756820deb9ccf8a19b02b4c19b4dff3c837605298062c,dataset/images/construction/concrete_pump_truck.jpg,0,delete,dataset/images/construction/concrete_pump_truck_boom.jpg
c06f093707786e45d91756820deb9ccf8a19b02b4c19b4dff3c837605298062c,dataset/images/construction/concrete_pump_truck_boom.jpg,0,keep,dataset/images/construction/concrete_pump_truck_boom.jpg
c305322af92ef12e055ce6a41ecb42132ffd57a816025cfc5d7f58da3efad423,dataset/images/manufacturing/agv_fleet_navigation_unit.jpg,0,delete,dataset/images/robotics/agv_fleet_navigation_unit.jpg
c305322af92ef12e055ce6a41ecb42132ffd57a816025cfc5d7f58da3efad423,dataset/images/robotics/agv_fleet_navigation_unit.jpg,8,keep,dataset/images/robotics/agv_fleet_navigation_unit.jpg
c324328b4df9f5e5604b3d1f4b08df351e958996d04d439fb9a7201049805e50,dataset/images/manufacturing/robotic_pipe_crawler.jpg,0,delete,dataset/images/robotics/robotic_pipe_crawler.jpg
c324328b4df9f5e5604b3d1f4b08df351e958996d04d439fb9a7201049805e50,dataset/images/robotics/robotic_pipe_crawler.jpg,8,keep,dataset/images/robotics/robotic_pipe_crawler.jpg
