sha256,action,reason,path,kept_path,referenced_by_samples,canonical_scene_name,keep_score
0f1fa023d9708db8751c9b00d480e0a5ba16f7936b9841fc191d5b7b870dd5fd,keep,selected_keep,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,true,true,11140
0f1fa023d9708db8751c9b00d480e0a5ba16f7936b9841fc191d5b7b870dd5fd,keep,referenced_duplicate_not_deleted,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_01.jpg,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,true,true,11140
3b49719e208bdfd8480dcd1b83d78dba9675ec436011779e3d12a0c99062a744,keep,selected_keep,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_01.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_01.jpg,true,true,11140
3b49719e208bdfd8480dcd1b83d78dba9675ec436011779e3d12a0c99062a744,keep,referenced_duplicate_not_deleted,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_02.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_01.jpg,true,true,11140
5b23b709a8cf567ccc1533765d2d8b4c9fd1d11386d2c2cfab5971d406724190,keep,selected_keep,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg,true,true,11140
5b23b709a8cf567ccc1533765d2d8b4c9fd1d11386d2c2cfab5971d406724190,keep,referenced_duplicate_not_deleted,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_01.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg,true,true,11140
5b23b709a8cf567ccc1533765d2d8b4c9fd1d11386d2c2cfab5971d406724190,keep,referenced_duplicate_not_deleted,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_01.jpg,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_01.jpg,true,true,11140
7ac10b08f27cb8df89bcdd03270d2126c605541acfc6e8f4b210ea418b3de498,keep,selected_keep,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,true,true,11140
7ac10b08f27cb8df89bcdd03270d2126c605541acfc6e8f4b210ea418b3de498,keep,referenced_duplicate_not_deleted,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_02.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,true,true,11140
c736e72e3a0226cd52094374c4ccaea413a4c893879af510a2d05c530eaffbd2,keep,selected_keep,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_01.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_01.jpg,true,true,11140
c736e72e3a0226cd52094374c4ccaea413a4c893879af510a2d05c530eaffbd2,keep,referenced_duplicate_not_deleted,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_01.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_01.jpg,true,true,11140
daaf15f5d993e5c1bd16bc2015453ab0202e9f8114e62baa2b13c2fd7d32f217,keep,selected_keep,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_01.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_01.jpg,true,true,11140
daaf15f5d993e5c1bd16bc2015453ab0202e9f8114e62baa2b13c2fd7d32f217,keep,referenced_duplicate_not_deleted,dataset/images/extreme_emergency/emerg_storage_tank_flash_fire/ref_02.jpg,dataset/images/extreme_emergency/emerg_reactor_runaway_pressure_release/ref_01.jpg,true,true,11140
