status,reason,source_path,scene_id,domain,dest_path,task_id,scene_import_limit,width,height,short_side,pixels,laplacian_var,edge_density,background_edge_density,deleted
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0002__from_fast_multisource_20260603_103649_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,dataset/images/extreme_emergency/emerg_hot_work_spark_combustible_fire/ref_05.jpg,emerg_290,1,1280,720,720,921600,5351.44,0.1131,0.1023,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0003__from_fast_multisource_20260603_103649_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0003__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0004__from_fast_multisource_20260604_124032_batch0.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0005__from_fast_multisource_20260602_183024.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/emerg_hot_work_spark_combustible_fire__commons_category__0006.jpg,emerg_hot_work_spark_combustible_fire,extreme_emergency,,,1,,,,,,,,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0003.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_02.jpg,erob_135,3,1200,1600,1200,1920000,71.78,0.0134,0.0044,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0004.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_02.jpg,erob_136,3,1280,960,960,1228800,763.24,0.0999,0.0855,
accepted,accepted,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0005.jpg,erob_amr_charger_smoke_abort,embodied_robotics,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_02.jpg,erob_137,3,1112,727,727,808424,329.91,0.0454,0.0139,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0017.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0018.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0022.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0023.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0025.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
rejected,scene_import_limit_reached,C:/Users/assd/FORGE/dataset/images_candidates/fast_multisource_20260604_185930/erob_amr_charger_smoke_abort__commons_category__0026.jpg,erob_amr_charger_smoke_abort,embodied_robotics,,,3,,,,,,,,
