task_id,scene_id,old_image_path,new_image_path
vsec_032,vsec_crane_unsafe_swing_near_people,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_11.jpg
vsec_034,vsec_crane_unsafe_swing_near_people,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_01.png,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_12.png
vsec_040,vsec_crane_unsafe_swing_near_people,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_11.jpg
vsec_055,vsec_perimeter_fence_breach,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_01.jpg,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_14.jpg
vsec_056,vsec_perimeter_fence_breach,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_02.jpg,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_15.jpg
vsec_057,vsec_perimeter_fence_breach,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_03.jpg,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_16.jpg
vsec_058,vsec_perimeter_fence_breach,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_04.jpg,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_17.jpg
vsec_071,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_17.jpg
vsec_075,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_17.jpg
vsec_076,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_02.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_18.jpg
vsec_077,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_03.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_19.jpg
vsec_078,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_04.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_20.jpg
vsec_079,vsec_pedestrian_forklift_near_miss,dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_17.jpg
vsec_083,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_01.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_12.jpg
vsec_084,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_02.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_13.jpg
vsec_085,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_03.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_14.jpg
vsec_086,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_04.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_15.jpg
vsec_087,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_05.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_16.jpg
vsec_088,vsec_smoke_alarm_evacuation,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_06.jpg,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_17.jpg
erob_004,erob_robot_arm_precision_grasp,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_09.jpg,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_08.jpg
